"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.761469269253048,0.00594307307272433,0.238530730746952,0.00186167140311526,0.838091582052992,0.161908417947008,0.000178457308818288,-0.000324274403119532,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.576865513343917,0.00217624505586791,0.423134486656083,0.00159628945265708,0.867852389089595,0.132147610910405,0.00016250007056935,1.28093481161519e-05,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.726520222156201,0.00242267399043046,0.273479777843799,0.000911953066804551,0.852255568556481,0.147744431443519,0.000166758932091748,-0.00023972514060016,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.659068895500244,0.621270975644492,0.00763147955784734,0.378729024355508,0.00465217742440685,0.860663237875781,0.139336762124219,0.00083899296436084,-0.000832469622219326,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.453945278108595,0.861707924523443,0.00803956575987851,0.138292075476557,0.00129023791382531,0.861256041293113,0.138743958706887,-0.000133386314353203,-0.000416292260051103,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.575639761008278,0.647025439898245,0.00659758689751241,0.352974560101755,0.00359920984443638,0.853981463090419,0.146018536909581,0.00159437960390837,-0.00135472144772448,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.629360823599324,0.740069587798926,0.0102338633296089,0.259930412201074,0.00359438133593111,0.850337214591912,0.149662785408088,0.000356220452864526,-0.000291382884358927,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.68521493983979,0.536807612312065,0.00660566954933199,0.463192387687935,0.00569979966873842,0.859738458223892,0.140261541776108,0.00136388207931615,-0.00123935616761971,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.594495030643022,0.797203514304877,0.0314780534637429,0.202796485695123,0.00800753948574407,0.82847959392319,0.17152040607681,0.00381776703568852,-0.00207233092640237,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.501537820210988,0.582124447739935,0.0131849538107314,0.417875552260065,0.00946476286397832,0.852949852010805,0.147050147989195,0.00254751816732534,-0.00251578009035726,2
